科教文化服务;学校;职业技术学校,141206,8
科教文化服务;学校;高等院校,141201,10
购物服务;专卖店;专营店,061200,22
购物服务;专卖店;专营店|公司企业;公司;公司,061200|170200,1
购物服务;专卖店;专营店|汽车服务;汽车服务相关;汽车服务相关,061200|010000,1
购物服务;专卖店;专营店|生活服务;生活服务场所;生活服务场所,061200|070000,1
购物服务;专卖店;书店,061205,4
购物服务;专卖店;儿童用品店,061207,2
购物服务;专卖店;古玩字画店,061201,3
购物服务;专卖店;烟酒专卖店,061210,5
购物服务;专卖店;珠宝首饰工艺品,061202,5
购物服务;专卖店;眼镜店,061204,5
购物服务;专卖店;礼品饰品店,061209,1
购物服务;专卖店;自行车专卖店,061208,1
购物服务;专卖店;钟表店,061203,2
购物服务;个人用品/化妆品店;其它个人用品店,061400,2
购物服务;体育用品店;体育用品店,060900,2
购物服务;体育用品店;体育用品店|公司企业;公司;公司,060900|170200,1
购物服务;便民商店/便利店;便民商店/便利店,060200,26
购物服务;商场;商场,060100,1
购物服务;商场;普通商场,060102,7
购物服务;商场;普通商场|购物服务;商场;购物中心|购物服务;超级市场;超市,060102|060101|060400,1
购物服务;商场;普通商场|购物服务;综合市场;综合市场,060102|060700,1
购物服务;商场;购物中心,060101,7
购物服务;商场;购物中心|购物服务;商场;普通商场,060101|060102,1
购物服务;家居建材市场;厨卫市场,060604,2
购物服务;家居建材市场;家具城,060602,8
购物服务;家居建材市场;家居建材市场,060600,1
购物服务;家居建材市场;布艺市场,060605,14
购物服务;家居建材市场;布艺市场|公司企业;公司;公司,060605|170200,2
购物服务;家居建材市场;建材五金市场,060603,59
购物服务;家居建材市场;建材五金市场|公司企业;公司;公司,060603|170200,1
购物服务;家居建材市场;建材五金市场|公司企业;工厂;工厂,060603|170300,1
购物服务;家居建材市场;建材五金市场|公司企业;工厂;工厂|公司企业;公司;公司,060603|170300|170200,1
购物服务;家居建材市场;建材五金市场|生活服务;生活服务场所;生活服务场所,060603|070000,1
购物服务;家居建材市场;灯具瓷器市场,060606,1
购物服务;家居建材市场;灯具瓷器市场|购物服务;专卖店;专营店,060606|061200,1
购物服务;家电电子卖场;家电电子卖场,060300,4
购物服务;家电电子卖场;家电电子卖场|生活服务;维修站点;维修站点,060300|071200,1
购物服务;家电电子卖场;手机销售,060305,3
购物服务;家电电子卖场;数码电子,060306,14
购物服务;家电电子卖场;综合家电商场,060301,3
购物服务;文化用品店;文化用品店,060800,7
购物服务;服装鞋帽皮具店;服装鞋帽皮具店,061100,15
购物服务;服装鞋帽皮具店;服装鞋帽皮具店|生活服务;摄影冲印店;摄影冲印,061100|071300,1
购物服务;服装鞋帽皮具店;服装鞋帽皮具店|生活服务;生活服务场所;生活服务场所,061100|070000,1
购物服务;特殊买卖场所;典当行,061302,2
购物服务;特色商业街;特色商业街,061000,3
购物服务;综合市场;农副产品市场,060703,13
购物服务;综合市场;农副产品市场|购物服务;便民商店/便利店;便民商店/便利店,060703|060200,1
购物服务;综合市场;旧货市场,060702,2
购物服务;综合市场;水产海鲜市场,060706,3
购物服务;综合市场;综合市场,060700,14
购物服务;花鸟鱼虫市场;花卉市场,060501,8
购物服务;花鸟鱼虫市场;花鸟鱼虫市场,060500,1
购物服务;购物相关场所;购物相关场所,060000,4
购物服务;超级市场;超市,060400,2
购物服务;超级市场;超市|购物服务;便民商店/便利店;便民商店/便利店,060400|060200,1
风景名胜;公园广场;公园,110101,2
风景名胜;公园广场;城市广场,110105,1
风景名胜;风景名胜;国家级景点,110202,2
风景名胜;风景名胜;寺庙道观,110205,1
风景名胜;风景名胜;教堂,110206,1
风景名胜;风景名胜;省级景点,110203,1
风景名胜;风景名胜;纪念馆,110204,3
风景名胜;风景名胜;纪念馆|风景名胜;风景名胜;红色景区,110204|110210,1
风景名胜;风景名胜;风景名胜,110200,5
餐饮服务;中餐厅;中餐厅,050100,30
餐饮服务;中餐厅;中餐厅|住宿服务;宾馆酒店;宾馆酒店,050100|100100,1
餐饮服务;中餐厅;中餐厅|餐饮服务;冷饮店;冷饮店,050100|050700,2
餐饮服务;中餐厅;四川菜(川菜),050102,2
餐饮服务;中餐厅;广东菜(粤菜),050103,4
餐饮服务;中餐厅;海鲜酒楼,050119,6
餐饮服务;中餐厅;清真菜馆,050121,1
餐饮服务;中餐厅;湖南菜(湘菜),050108,1
餐饮服务;中餐厅;特色/地方风味餐厅,050118,2
餐饮服务;中餐厅;综合酒楼,050101,7
餐饮服务;中餐厅;综合酒楼|公司企业;公司;公司,050101|170200,1
餐饮服务;冷饮店;冷饮店,050700,1
餐饮服务;外国餐厅;日本料理,050202,1
餐饮服务;外国餐厅;西餐厅(综合风味),050201,1
餐饮服务;快餐厅;快餐厅,050300,1
餐饮服务;甜品店;甜品店,050900,1
餐饮服务;糕饼店;糕饼店,050800,3
餐饮服务;茶艺馆;茶艺馆,050600,1
餐饮服务;餐饮相关场所;餐饮相关,050000,3
